net profit / total assets,current assets / short-term liabilities,[(cash + short-term securities + receivables - short-term liabilities) / (operating expenses - depreciation)] * 365,sales / total assets,(gross profit + depreciation) / sales,(total liabilities * 365) / (gross profit + depreciation),sales (n) / sales (n-1),profit on operating activities / financial expenses,working capital / fixed assets,(current liabilities * 365) / cost of products sold,(current assets - inventories) / long-term liabilities,total liabilities / ((profit on operating activities + depreciation) * (12/365)),net profit / inventory,(current assets - inventory - short-term liabilities) / (sales - gross profit - depreciation),bankrupt
0.17419,1.348,-28.982,1.1961,0.14233,592.24,0.9969,1.9737,0.32417,100.82,123140.0,0.041124,0.94621,0.37574,0
0.024526,1.7833,-10.105,1.0509,0.036812,3299.4,0.62795,0.44844,0.73869,103.81,3.9624,0.1805,0.079819,0.043445,0
0.18829,1.9279,-58.274,1.3393,0.1878,602.31,1.2039,44.947,1.1853,122.09,4.549,0.054712,0.36429,0.32188,0
0.11503,112.63,55.58,0.44339,0.32533,92.759,0.82872,61.21,13.526,7.2995,58.907,0.014485,4.7821,0.1194,0
0.0098323,1.2393,-107.73,1.1825,0.047491,4359.1,1.013,1.0904,0.45384,217.81,11.749,0.25159,0.068029,0.029854,0
0.083519,2.694,35.966,1.0475,0.054553,1155.2,0.69907,0.44045,8.1573,56.473,9.7852,0.11213,0.23286,0.13987,0
0.083597,3.6396,105.17,1.262,0.29633,659.63,0.96484,2.6589,0.15647,62.645,0.92361,0.076122,1.851,0.10346,0
0.081951,3.5654,29.45,1.1117,0.13768,762.7,1.2354,1.1717,0.55316,57.834,1.7887,0.071621,0.3856,0.1087,0
0.029986,0.97797,-39.996,1.084,0.046267,6723.5,1.4875,0.50943,-0.038837,274.69,3.7563,0.45861,0.37588,0.17505,0
0.092539,4.2506,82.738,1.091,0.13948,348.18,0.80316,1.0652,1.1138,47.509,23.609,0.031824,0.43341,0.13906,0
-0.01251,0.64743,-149.5,0.99318,0.039174,9409.7,1.2983,-0.020663,-0.53745,282.74,1.6716,0.66657,-0.10551,-4.0385,0
0.044384,0.43939,-158.4,1.0741,0.06554,3489.2,0.98457,0.79254,-0.90601,218.1,2.8202,0.18196,0.56251,-0.29548,0
0.18976,1.6816,0.37986,1.0769,0.067832,1315.8,0.96816,0.7461,2.6023,69.971,2.6959,0.11249,0.54702,0.64721,0
-0.013368,1.442,-70.563,0.99898,0.035496,5527.7,0.62118,0.096357,0.44559,149.84,1.8608,0.29487,-0.03746,-0.029165,0
0.19187,1.0551,-31.647,1.0998,0.10142,917.36,1.107,1.0225,0.087586,91.463,5.5107,0.081313,0.80683,0.58813,0
0.11996,1.737,34.704,1.101,0.118,980.27,0.99548,0.96181,1.3526,123.72,52.073,0.10003,1.3366,0.22942,0
0.12206,3.697,108.33,1.1391,0.16658,377.46,0.92207,1.5055,1.9649,70.991,324.72,0.033602,0.75376,0.16696,0
0.17609,1.6701,-220.85,1.2614,0.80496,253.46,1.7253,9.9885,0.1252,255.02,18.737,0.022138,0.82563,0.21219,0
0.029271,0.39234,-81.942,1.0987,0.17077,1145.3,0.97783,1.0482,-0.093366,113.65,0.4216,0.089907,12.063,0.0674,0
0.046585,1.3663,-45.173,1.0959,0.084355,2548.3,0.92721,0.84994,0.99118,181.88,2.59,0.15305,0.1344,0.20521,0
0.15249,1.5882,11.381,1.2016,0.16303,952.08,0.92771,1.9489,0.43602,110.3,1.6058,0.076026,0.9355,0.3715,0
0.026141,1.6512,26.162,1.0476,0.033753,1716.6,1.1946,0.13225,0.37279,59.753,102.32,0.18001,2.2577,0.042672,0
0.079069,1.9896,74.219,1.0709,0.13455,781.61,0.57785,1.1621,0.34804,92.285,8.294,0.074165,2.3623,0.10578,0
0.04555,2.1865,92.711,1.0313,0.055999,1650.2,0.99531,0.40774,1.4035,94.861,459.93,0.16175,2.4748,0.07556,0
0.064749,3.4763,67.259,1.1145,0.10684,320.82,0.76215,1.1245,0.53298,36.774,72.003,0.022547,0.77323,0.080676,0
0.021097,1.7584,-7.6569,1.0386,0.11986,829.32,0.70824,0.3406,0.33988,97.361,15.466,0.072279,0.10212,0.035771,0
0.0060862,1.8243,-27.158,1.0095,0.18348,1473.5,0.57022,0.39789,0.13191,122.5,0.66433,0.11903,0.048717,0.010268,0
0.011815,2.1622,21.869,1.1473,0.060489,1610.8,1.2799,1.7999,0.58245,87.098,7.4137,0.11242,0.36148,0.0,0
0.043252,2.0505,51.656,1.0232,0.037071,1448.5,1.7706,0.23199,1.0857,54.024,115.11,0.13724,1.4904,0.16316,0
0.0084617,2.3268,-0.83504,1.0574,0.058599,1839.2,0.75362,0.29738,0.6297,103.63,10.108,0.12256,0.028427,0.011674,0
0.0043142,1.6972,-16.872,1.0291,0.080382,1611.6,0.8662,0.29024,0.19902,88.477,1.615,0.13334,0.025531,0.0060743,0
0.052971,3.4185,51.826,0.88281,0.1213,720.68,0.85956,27.707,0.96899,112.05,9.6602,0.067757,0.31386,0.0,0
0.16465,1.7913,8.6762,1.0538,0.15313,314.71,0.91673,0.55409,0.16978,49.879,65.189,0.078081,1.7428,0.19666,0
0.06119,1.4783,12.386,1.0654,0.063066,1918.1,0.87761,0.58007,1.2058,128.07,173.75,0.15762,0.30205,0.15265,0
0.088008,1.0878,-104.98,1.1338,0.11253,1632.8,1.3999,1.3258,0.054387,119.53,0.1802,0.11971,0.24931,0.71794,0
0.12973,1.3095,-17.286,1.0646,0.08949,1069.4,1.1689,0.64499,0.44273,86.394,4.5299,0.11053,0.52398,0.35396,0
-0.023862,0.65048,-127.4,1.038,0.011666,22628.0,1.1231,0.3616,-0.36925,212.6,1.5535,0.35979,-0.18887,-0.12365,0
-0.1865,4.315,64.479,0.84979,-0.090854,-632.33,0.63971,-1.4436,1.6079,46.859,58.214,-0.057644,-0.63319,-0.22554,0
0.043325,1.3599,25.2,1.0106,0.081725,971.24,0.76149,0.35091,0.36787,79.788,241.43,0.078729,1.8411,0.076881,0
-0.03559,0.74953,-117.53,1.0096,-0.0016469,-114390.0,1.0,0.26278,-0.79245,186.21,17.783,0.39784,-0.10311,0.62154,0
0.027318,1.6291,10.374,1.019,0.030233,2604.3,0.88293,0.23023,1.1453,77.387,30.978,0.19848,0.12126,0.054478,0
0.027454,1.2672,-96.461,0.95746,0.088378,3145.8,0.87495,0.66856,0.4549,208.65,2.0681,0.21575,0.073069,0.10661,0
0.17159,2.0536,28.393,1.1224,0.17756,648.59,1.0794,1.5194,0.86889,93.631,4.163,0.067334,1.1937,0.30538,0
0.17159,2.0536,28.393,1.1224,0.17756,648.59,1.0794,1.5194,0.86889,93.631,4.163,0.067334,1.1937,0.30538,0
0.005998,3.4102,15.828,1.0052,0.053021,1813.4,0.74806,-0.00073069,0.40481,39.379,0.96174,0.20407,0.027921,0.0090264,0
0.017178,2.3181,54.844,1.0316,0.04559,1832.1,1.1607,0.12805,1.448,84.12,68.84,0.15682,0.08624,0.027446,0
0.015211,1.2938,-6.7709,1.0728,0.039225,4048.7,0.73396,0.72496,0.60125,132.41,3.3234,0.15308,0.079507,0.055841,0
0.012888,3.6554,69.713,1.0319,0.074485,861.92,0.77919,0.30084,0.8855,45.669,5.7032,0.073979,0.079031,0.016481,0
0.0061085,1.8776,14.474,0.87082,0.047104,3320.9,0.91032,1.1101,0.58059,176.23,5.7095,0.13791,0.026134,0.0097458,0
0.070067,1.4018,-51.669,1.0531,0.13549,1161.7,1.2774,1.1939,0.17891,106.29,0.97462,0.089485,0.29839,0.1359,0
0.054337,1.021,-53.5,1.094,0.12917,1209.5,1.5338,0.7837,0.022755,166.02,23.966,0.10213,0.33619,0.13093,0
0.020903,1.0685,-139.86,1.0531,0.048199,6460.3,1.1505,0.22041,0.12837,298.31,5.3969,0.72931,0.062855,0.068406,0
0.090123,2.8355,91.581,1.118,0.094271,874.8,0.68006,1.0692,2.6001,88.411,48.045,0.072031,0.41004,0.16298,0
0.12788,5.3073,130.56,1.1417,0.19149,233.08,1.0294,1.5226,1.9009,50.95,19942.0,0.022041,0.6441,0.14809,0
0.029646,1.0017,-15.66,1.0074,0.011389,3939.4,0.91485,0.061899,0.001984,45.177,1464.5,0.32663,0.1589,0.06637,0
-0.11085,2.4714,-37.162,0.88313,-0.088532,-924.17,0.88068,-1.0502,0.66334,71.727,73.77,-0.079832,-0.26974,-0.14155,0
-0.035037,1.4584,-31.884,1.033,0.013608,8728.1,0.83691,0.085627,0.27666,70.556,0.76553,0.24037,-0.12226,-0.08044,0
0.077056,3.7182,120.41,1.1173,0.089702,714.92,1.0227,0.78761,5.6883,71.343,615.77,0.065894,0.31766,0.10898,0
0.25548,0.95972,-55.295,1.315,0.25011,749.26,0.88631,3.1775,-0.048306,238.17,22.285,0.06385,2.4443,0.60374,0
0.079115,0.91102,-188.38,0.98769,0.10581,2688.0,1.0414,-0.53337,-0.33131,279.79,92.004,-2.5666,0.17109,0.58448,0
-0.026086,1.4016,-31.772,0.98766,-0.010557,-16976.0,0.89045,-0.22318,0.38665,175.25,113.74,-1.0167,-0.24017,-0.044509,0
-0.032333,1.2091,-16.081,1.0204,0.0087825,20695.0,0.92729,0.18124,0.24021,101.95,1.0302,0.40201,-0.18408,-0.258,0
0.048387,1.9877,-16.2,1.0362,0.044049,1851.8,0.80805,0.35179,1.5946,59.701,1.8074,0.14531,0.10204,0.11276,0
0.22947,4.3668,70.886,1.324,0.27706,160.18,1.1521,3.3117,0.81519,49.547,13.009,0.014267,1.001,0.26746,0
0.068771,1.677,150.91,1.1432,0.11865,3090.8,1.1608,1.1823,2.088,360.99,8.8027,0.27583,0.53607,0.16988,0
0.09427,1.5933,-17.089,1.1008,0.12433,1068.2,1.0698,1.0779,0.42536,88.965,1.2928,0.083534,0.36986,0.22564,0
0.04977,1.1545,-1.784,1.0354,0.049007,3699.8,1.8863,0.47376,0.47687,181.76,31.248,0.3263,0.5875,0.16663,0
0.0054052,0.52026,-143.63,1.0223,0.058665,6825.6,2.7786,0.19538,-0.23447,184.61,0.21268,0.50861,0.053077,0.041793,0
0.10243,3.7807,103.27,1.1462,0.16748,503.35,0.98469,1.4321,1.4701,68.666,6.0308,0.044381,0.43864,0.14113,0
0.039273,4.1085,70.769,1.0525,0.093603,334.66,1.0175,0.48911,0.69145,32.921,2022.7,0.027535,0.32557,0.045472,0
-0.048797,1.2667,-28.366,0.97028,0.011901,12777.0,0.9111,-0.19214,0.19691,81.834,0.8369,0.63252,-0.21505,-0.17571,0
0.054505,1.6127,16.601,1.0672,0.19516,880.61,0.91735,0.91269,0.19117,93.173,1.2082,0.076597,0.59342,0.098291,0
0.22242,1.2263,-26.438,1.1598,0.16012,473.24,1.0865,1.2944,0.23797,87.288,106.16,0.046257,0.97556,0.44819,0
0.11131,3.0518,12.413,1.1452,0.21591,347.29,0.88638,1.3616,0.22787,29.411,0.75266,0.031029,0.83511,0.15014,0
0.36392,2.6698,48.608,1.1882,0.168,297.83,1.1021,1.8865,2.8678,58.753,155.17,0.027078,1.4469,0.53786,0
0.18428,4.1366,101.33,1.2038,0.15381,331.84,1.151,1.6641,1.7901,52.15,16.409,0.028162,0.89484,0.23038,0
0.36018,2.8082,29.434,1.1975,0.1661,247.59,1.1469,1.9026,1.2719,43.011,11.805,0.02116,1.3893,0.4944,0
0.042635,2.9861,34.519,1.0475,0.051339,599.73,0.6978,0.38319,0.61277,31.839,161.45,0.045611,0.29586,0.053285,0
0.076386,2.9936,13.287,1.104,0.11545,777.69,0.86117,1.0722,0.79403,64.851,2.307,0.063473,0.23692,0.11559,0
-0.13507,2.0445,-80.424,0.66657,-0.090273,-1886.1,0.83063,-0.55655,0.52011,165.01,48.591,1.2346,-0.62603,-0.19602,0
